Class

Name	NumAttr	NumOps	NumPubOps	Setters	Getters	Nesting	IFImpl	NOC	NumDesc	NumAnc	DIT	CLD	OpsInh	AttrInh	Dep_Out	Dep_In	NumAssEl_ssc	NumAssEl_sb	NumAssEl_nsb	EC_Attr	IC_Attr	EC_Par	IC_Par	Connectors	InstSpec	LLInst	MsgSent	MsgRecv	MsgSelf	Diags
unitunes_class_gb.controller.GerenciadorMidias	1	9	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	11	0	0	0	0.0	0.0	0	0
unitunes_class_gb.controller.GerenciadorVendas	2	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	5	1	2	0	4	0	0	0	0.0	0.0	0	0
unitunes_class_gb.model.Album	6	12	12	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	4	0	0	0	0.0	0.0	0	0
unitunes_class_gb.model.AlbumPorId	6	11	11	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	3	0	0	0	0.0	0.0	0	0
unitunes_class_gb.model.Midia	12	22	22	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1	10	0	0	0	0.0	0.0	0	0
unitunes_class_gb.model.Carteira	3	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.model.Cadastro	6	12	12	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	7	0	0	0	0.0	0.0	0	0
unitunes_class_gb.model.venda	7	14	14	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	3	0	0	0	0.0	0.0	0	0
unitunes_class_gb.model.Favorito	2	4	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.VendasCRUS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.ArrayList.parameter0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.ArrayList	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Venda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.date	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Date	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	15	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.AlbunsCRUD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
